,time_utc,Kp,Dst,Vsw_km_s,Np_cm3,T_K,IMF_Bz_nT,goes_xray_flux
0,2025-09-20 20:00:00+00:00,,,,,,,9.500994480049485e-08
1,2025-09-20 21:00:00+00:00,,,,,,,4.3117260872804763e-08
2,2025-09-20 22:00:00+00:00,,,,,,,5.193729890606846e-08
3,2025-09-20 23:00:00+00:00,,,,,,,3.4363687007044064e-08
4,2025-09-21 00:00:00+00:00,,,,,,,3.5135599318891764e-08
5,2025-09-21 01:00:00+00:00,,,,,,,4.149492838223523e-08
6,2025-09-21 02:00:00+00:00,,,,,,,2.7734456509165284e-08
7,2025-09-21 03:00:00+00:00,,,,,,,3.766765743762335e-08
8,2025-09-21 04:00:00+00:00,,,,,,,7.713432381706298e-08
9,2025-09-21 05:00:00+00:00,,,,,,,9.573934534046202e-08
10,2025-09-21 06:00:00+00:00,,,,,,,4.518966889577314e-08
11,2025-09-21 07:00:00+00:00,,,,,,,1.9971265530216442e-08
12,2025-09-21 08:00:00+00:00,,,,,,,1.8179907357307457e-08
13,2025-09-21 09:00:00+00:00,,,,,,,2.167849899592511e-08
14,2025-09-21 10:00:00+00:00,,,,,,,2.6025766430848307e-08
15,2025-09-21 11:00:00+00:00,,,,,,,1.4071993348352407e-08
16,2025-09-21 12:00:00+00:00,,,,,,,2.273504406957727e-08
17,2025-09-21 13:00:00+00:00,,,,,,,1.3521229469404261e-08
18,2025-09-21 14:00:00+00:00,,,,,,,5.081166776221835e-08
19,2025-09-21 15:00:00+00:00,,,,,,,2.217742078869378e-08
20,2025-09-21 16:00:00+00:00,,,,,,,4.03862259190646e-08
21,2025-09-21 17:00:00+00:00,,,,,,,2.0199527739350742e-07
22,2025-09-21 18:00:00+00:00,,,,,,,5.741487996147043e-08
23,2025-09-21 19:00:00+00:00,,,,,,,4.243027618144879e-08
24,2025-09-21 20:00:00+00:00,,,,,,,6.737774072007596e-08
25,2025-09-21 21:00:00+00:00,,,,,,,7.702252560193301e-07
26,2025-09-21 22:00:00+00:00,,,,,,,3.558785977020307e-08
27,2025-09-21 23:00:00+00:00,,,,,,,3.513800450605231e-08
